AFE Name,Permit + Landowner,Build / Extend Pad,Cellar / Mousehole,Well Spud + Drilling,Rig Low / Prep Loc,Frac Well,Drillout + Tube up,Flowback,Facilities,Total,AFE Drilling Total,AFE Completion Total,AFE Facilities Total
WANORECK A PU N131HM,20,104,32,1701.17,0,3140.146423,210.75,213.6,375,5796.666423,1857.17,3564.496423,188.175
WANORECK B PU N133HM,20,104,32,1654.14125,0,3143.846423,210.75,213.6,375,5753.337673,1810.14125,3568.196423,188.175
WANORECK B PU N134HM,20,104,32,1631.14125,0,3137.076388,210.75,213.6,375,5723.567638,1787.14125,3561.426388,188.175
HALCOMB A S271HU,0,0,0,0,0,0,0,0,0,0,0,0,0
HALCOMB A S288HM,0,0,0,0,0,0,0,0,0,0,0,0,0
HALCOMB A S287HU,0,0,0,0,0,539.19389,0,0,79.551,618.74489,0,539.19389,0
HALCOMB A S286HD,0,0,0,0,0,0,0,0,0,0,0,0,0
HALCOMB A S273HU,0,0,0,0,0,1194.31462,0,0,79.551,1273.86562,0,1194.31462,0
HALCOMB A S274HM,0,0,0,0,0,918.39782,0,0,79.551,997.94882,0,918.39782,0
HALCOMB A S274HA,0,0,0,0,0,1080.66203,0,0,79.551,1160.21303,0,1080.66203,0
MUNSON C S284HM,20,104,32,1147.249,0,1887.677,210.75,213.6,333.3333333,3948.609333,1303.249,2312.027,124.97
MUNSON C S285HU,20,104,32,959.938,0,1887.677,210.75,213.6,333.3333333,3761.298333,1115.938,2312.027,124.97
MUNSON C S286HM,20,104,32,1147.249,0,1887.677,210.75,213.6,333.3333333,3948.609333,1303.249,2312.027,124.97
FARMAR DD S548HM,0,0,0,0,0,2258.361,210.75,213.6,250,2932.711,0,2682.711,124.97
FARMAR DC S545HM,20,104,32,1254.132,0,2258.361,210.75,213.6,250,4342.843,1410.132,2682.711,124.97
FARMAR DB S544HU,20,104,32,922.924,0,2213.906,210.75,213.6,250,3967.18,1078.924,2638.256,124.97
FARMAR DA S541HM,20,104,32,1254.132,0,2258.361,210.75,213.6,250,4342.843,1410.132,2682.711,124.97
FARMAR CB PU N734HU,20,104,32,829.313,0,1844.889,210.75,213.6,325,3579.552,985.313,2269.239,124.97
FARMAR CC PU N735HM,20,104,32,1094.476,0,1858.122,210.75,213.6,325,3857.948,1250.476,2282.472,124.97
FARMAR CC PU N736HU,20,104,32,829.313,0,1844.889,210.75,213.6,325,3579.552,985.313,2269.239,124.97
FARMAR CD PU N738HU,20,104,32,829.313,0,1844.889,210.75,213.6,325,3579.552,985.313,2269.239,124.97
MUNSON C 2001H,0,0,0,0,0,1689.866,210.75,213.6,0,2114.216,0,2114.216,124.97
MUNSON C N283HU,20,104,32,1200.399,0,1645.678,210.75,213.6,234.681,3661.108,1356.399,2070.028,234.681
MUNSON C N284HM,20,104,32,1191.626,0,1677.479,210.75,213.6,234.681,3684.136,1347.626,2101.829,234.681
MUNSON C N285HU,20,104,32,1111.498,0,1674.436,210.75,213.6,234.681,3600.965,1267.498,2098.786,234.681
MUNSON C N286HM,20,104,32,1271.241,0,1721.063,210.75,213.6,234.681,3807.335,1427.241,2145.413,234.681
MUNSON C N287HU,20,104,32,1311,0,1595.65,210.75,213.6,234.681,3721.681,1467,2020,234.681
