Date,gas_hsc_fee_per_mmbtu,gas_waha_fee_per_mmbtu,oil_trucking_fee_per_bbl,ngl_tnf_per_gal
44135,-0.64,-0.13,-1.25,-0.08
44165,-0.64,-0.13,-1.25,-0.08
44196,-0.64,-0.13,-1.25,-0.08
44227,-0.64,-0.13,-1.25,-0.08
44255,-0.64,-0.13,-1.25,-0.08
44286,-0.64,-0.13,-1.25,-0.08
44316,-0.64,-0.13,-1.25,-0.08
44347,-0.64,-0.13,-1.25,-0.08
44377,-0.64,-0.13,-1.25,-0.08
44408,-0.64,-0.13,-1.25,-0.08
44439,-0.64,-0.13,-1.25,-0.08
44469,-0.64,-0.13,-1.25,-0.08
44500,-0.64,-0.13,-1.25,-0.08
44530,-0.64,-0.13,-1.25,-0.08
44561,-0.64,-0.13,-1.25,-0.08
44592,-0.64,-0.13,-1.25,-0.08
44620,-0.64,-0.13,-1.25,-0.08
44651,-0.64,-0.13,-1.25,-0.08
44681,-0.64,-0.13,-1.25,-0.08
44712,-0.64,-0.13,-1.25,-0.08
44742,-0.64,-0.13,-1.25,-0.08
44773,-0.64,-0.13,-1.25,-0.08
44804,-0.64,-0.13,-1.25,-0.08
44834,-0.64,-0.13,-1.25,-0.08
44865,-0.64,-0.13,-1.25,-0.08
44895,-0.64,-0.13,-1.25,-0.08
44926,-0.64,-0.13,-1.25,-0.08
44957,-0.64,-0.13,-1.25,-0.08
44985,-0.64,-0.13,-1.25,-0.08
45016,-0.64,-0.13,-1.25,-0.08
45046,-0.64,-0.13,-1.25,-0.08
45077,-0.64,-0.13,-1.25,-0.08
45107,-0.64,-0.13,-1.25,-0.08
45138,-0.64,-0.13,-1.25,-0.08
45169,-0.64,-0.13,-1.25,-0.08
45199,-0.64,-0.13,-1.25,-0.08
45230,-0.64,-0.13,-1.25,-0.08
45260,-0.64,-0.13,-1.25,-0.08
45291,-0.64,-0.13,-1.25,-0.08
45322,-0.64,-0.13,-1.25,-0.08
45351,-0.64,-0.13,-1.25,-0.08
45382,-0.64,-0.13,-1.25,-0.08
45412,-0.64,-0.13,-1.25,-0.08
45443,-0.64,-0.13,-1.25,-0.08
45473,-0.64,-0.13,-1.25,-0.08
45504,-0.64,-0.13,-1.25,-0.08
45535,-0.64,-0.13,-1.25,-0.08
45565,-0.64,-0.13,-1.25,-0.08
45596,-0.64,-0.13,-1.25,-0.08
45626,-0.64,-0.13,-1.25,-0.08
45657,-0.64,-0.13,-1.25,-0.08
45688,-0.64,-0.13,-1.25,-0.08
45716,-0.64,-0.13,-1.25,-0.08
45747,-0.64,-0.13,-1.25,-0.08
45777,-0.64,-0.13,-1.25,-0.08
45808,-0.64,-0.13,-1.25,-0.08
45838,-0.64,-0.13,-1.25,-0.08
45869,-0.64,-0.13,-1.25,-0.08
45900,-0.64,-0.13,-1.25,-0.08
45930,-0.64,-0.13,-1.25,-0.08
45961,-0.64,-0.13,-1.25,-0.08
45991,-0.64,-0.13,-1.25,-0.08
46022,-0.64,-0.13,-1.25,-0.08
46053,-0.64,-0.13,-1.25,-0.08
46081,-0.64,-0.13,-1.25,-0.08
46112,-0.64,-0.13,-1.25,-0.08
46142,-0.64,-0.13,-1.25,-0.08
46173,-0.64,-0.13,-1.25,-0.08
46203,-0.64,-0.13,-1.25,-0.08
46234,-0.64,-0.13,-1.25,-0.08
46265,-0.64,-0.13,-1.25,-0.08
46295,-0.64,-0.13,-1.25,-0.08
46326,-0.64,-0.13,-1.25,-0.08
46356,-0.64,-0.13,-1.25,-0.08
46387,-0.64,-0.13,-1.25,-0.08
46418,-0.64,-0.13,-1.25,-0.08
46446,-0.64,-0.13,-1.25,-0.08
46477,-0.64,-0.13,-1.25,-0.08
46507,-0.64,-0.13,-1.25,-0.08
46538,-0.64,-0.13,-1.25,-0.08
46568,-0.64,-0.13,-1.25,-0.08
46599,-0.64,-0.13,-1.25,-0.08
46630,-0.64,-0.13,-1.25,-0.08
46660,-0.64,-0.13,-1.25,-0.08
46691,-0.64,-0.13,-1.25,-0.08
46721,-0.64,-0.13,-1.25,-0.08
46752,-0.64,-0.13,-1.25,-0.08
46783,-0.64,-0.13,-1.25,-0.08
46812,-0.64,-0.13,-1.25,-0.08
46843,-0.64,-0.13,-1.25,-0.08
46873,-0.64,-0.13,-1.25,-0.08
46904,-0.64,-0.13,-1.25,-0.08
46934,-0.64,-0.13,-1.25,-0.08
46965,-0.64,-0.13,-1.25,-0.08
46996,-0.64,-0.13,-1.25,-0.08
47026,-0.64,-0.13,-1.25,-0.08
47057,-0.64,-0.13,-1.25,-0.08
47087,-0.64,-0.13,-1.25,-0.08
47118,-0.64,-0.13,-1.25,-0.08
47149,-0.64,-0.13,-1.25,-0.08
47177,-0.64,-0.13,-1.25,-0.08
47208,-0.64,-0.13,-1.25,-0.08
47238,-0.64,-0.13,-1.25,-0.08
47269,-0.64,-0.13,-1.25,-0.08
47299,-0.64,-0.13,-1.25,-0.08
47330,-0.64,-0.13,-1.25,-0.08
47361,-0.64,-0.13,-1.25,-0.08
47391,-0.64,-0.13,-1.25,-0.08
47422,-0.64,-0.13,-1.25,-0.08
47452,-0.64,-0.13,-1.25,-0.08
47483,-0.64,-0.13,-1.25,-0.08
47514,-0.64,-0.13,-1.25,-0.08
47542,-0.64,-0.13,-1.25,-0.08
47573,-0.64,-0.13,-1.25,-0.08
47603,-0.64,-0.13,-1.25,-0.08
47634,-0.64,-0.13,-1.25,-0.08
47664,-0.64,-0.13,-1.25,-0.08
47695,-0.64,-0.13,-1.25,-0.08
47726,-0.64,-0.13,-1.25,-0.08
47756,-0.64,-0.13,-1.25,-0.08
47787,-0.64,-0.13,-1.25,-0.08
47817,-0.64,-0.13,-1.25,-0.08
47848,-0.64,-0.13,-1.25,-0.08
47879,-0.64,-0.13,-1.25,-0.08
47907,-0.64,-0.13,-1.25,-0.08
47938,-0.64,-0.13,-1.25,-0.08
47968,-0.64,-0.13,-1.25,-0.08
47999,-0.64,-0.13,-1.25,-0.08
48029,-0.64,-0.13,-1.25,-0.08
48060,-0.64,-0.13,-1.25,-0.08
48091,-0.64,-0.13,-1.25,-0.08
48121,-0.64,-0.13,-1.25,-0.08
48152,-0.64,-0.13,-1.25,-0.08
48182,-0.64,-0.13,-1.25,-0.08
48213,-0.64,-0.13,-1.25,-0.08
48244,-0.64,-0.13,-1.25,-0.08
48273,-0.64,-0.13,-1.25,-0.08
48304,-0.64,-0.13,-1.25,-0.08
48334,-0.64,-0.13,-1.25,-0.08
48365,-0.64,-0.13,-1.25,-0.08
48395,-0.64,-0.13,-1.25,-0.08
48426,-0.64,-0.13,-1.25,-0.08
48457,-0.64,-0.13,-1.25,-0.08
48487,-0.64,-0.13,-1.25,-0.08
48518,-0.64,-0.13,-1.25,-0.08
48548,-0.64,-0.13,-1.25,-0.08
48579,-0.64,-0.13,-1.25,-0.08
48610,-0.64,-0.13,-1.25,-0.08
48638,-0.64,-0.13,-1.25,-0.08
48669,-0.64,-0.13,-1.25,-0.08
48699,-0.64,-0.13,-1.25,-0.08
48730,-0.64,-0.13,-1.25,-0.08
48760,-0.64,-0.13,-1.25,-0.08
48791,-0.64,-0.13,-1.25,-0.08
48822,-0.64,-0.13,-1.25,-0.08
48852,-0.64,-0.13,-1.25,-0.08
48883,-0.64,-0.13,-1.25,-0.08
48913,-0.64,-0.13,-1.25,-0.08
48944,-0.64,-0.13,-1.25,-0.08
48975,-0.64,-0.13,-1.25,-0.08
49003,-0.64,-0.13,-1.25,-0.08
49034,-0.64,-0.13,-1.25,-0.08
49064,-0.64,-0.13,-1.25,-0.08
49095,-0.64,-0.13,-1.25,-0.08
49125,-0.64,-0.13,-1.25,-0.08
49156,-0.64,-0.13,-1.25,-0.08
49187,-0.64,-0.13,-1.25,-0.08
49217,-0.64,-0.13,-1.25,-0.08
49248,-0.64,-0.13,-1.25,-0.08
49278,-0.64,-0.13,-1.25,-0.08
49309,-0.64,-0.13,-1.25,-0.08
49340,-0.64,-0.13,-1.25,-0.08
49368,-0.64,-0.13,-1.25,-0.08
49399,-0.64,-0.13,-1.25,-0.08
49429,-0.64,-0.13,-1.25,-0.08
49460,-0.64,-0.13,-1.25,-0.08
49490,-0.64,-0.13,-1.25,-0.08
49521,-0.64,-0.13,-1.25,-0.08
49552,-0.64,-0.13,-1.25,-0.08
49582,-0.64,-0.13,-1.25,-0.08
49613,-0.64,-0.13,-1.25,-0.08
49643,-0.64,-0.13,-1.25,-0.08
49674,-0.64,-0.13,-1.25,-0.08
49705,-0.64,-0.13,-1.25,-0.08
49734,-0.64,-0.13,-1.25,-0.08
49765,-0.64,-0.13,-1.25,-0.08
49795,-0.64,-0.13,-1.25,-0.08
49826,-0.64,-0.13,-1.25,-0.08
49856,-0.64,-0.13,-1.25,-0.08
49887,-0.64,-0.13,-1.25,-0.08
49918,-0.64,-0.13,-1.25,-0.08
49948,-0.64,-0.13,-1.25,-0.08
49979,-0.64,-0.13,-1.25,-0.08
50009,-0.64,-0.13,-1.25,-0.08
50040,-0.64,-0.13,-1.25,-0.08
50071,-0.64,-0.13,-1.25,-0.08
50099,-0.64,-0.13,-1.25,-0.08
50130,-0.64,-0.13,-1.25,-0.08
50160,-0.64,-0.13,-1.25,-0.08
50191,-0.64,-0.13,-1.25,-0.08
50221,-0.64,-0.13,-1.25,-0.08
50252,-0.64,-0.13,-1.25,-0.08
50283,-0.64,-0.13,-1.25,-0.08
50313,-0.64,-0.13,-1.25,-0.08
50344,-0.64,-0.13,-1.25,-0.08
50374,-0.64,-0.13,-1.25,-0.08
50405,-0.64,-0.13,-1.25,-0.08
50436,-0.64,-0.13,-1.25,-0.08
50464,-0.64,-0.13,-1.25,-0.08
50495,-0.64,-0.13,-1.25,-0.08
50525,-0.64,-0.13,-1.25,-0.08
50556,-0.64,-0.13,-1.25,-0.08
50586,-0.64,-0.13,-1.25,-0.08
50617,-0.64,-0.13,-1.25,-0.08
50648,-0.64,-0.13,-1.25,-0.08
50678,-0.64,-0.13,-1.25,-0.08
50709,-0.64,-0.13,-1.25,-0.08
50739,-0.64,-0.13,-1.25,-0.08
50770,-0.64,-0.13,-1.25,-0.08
50801,-0.64,-0.13,-1.25,-0.08
50829,-0.64,-0.13,-1.25,-0.08
50860,-0.64,-0.13,-1.25,-0.08
50890,-0.64,-0.13,-1.25,-0.08
50921,-0.64,-0.13,-1.25,-0.08
50951,-0.64,-0.13,-1.25,-0.08
50982,-0.64,-0.13,-1.25,-0.08
51013,-0.64,-0.13,-1.25,-0.08
51043,-0.64,-0.13,-1.25,-0.08
51074,-0.64,-0.13,-1.25,-0.08
51104,-0.64,-0.13,-1.25,-0.08
51135,-0.64,-0.13,-1.25,-0.08
51166,-0.64,-0.13,-1.25,-0.08
51195,-0.64,-0.13,-1.25,-0.08
51226,-0.64,-0.13,-1.25,-0.08
51256,-0.64,-0.13,-1.25,-0.08
51287,-0.64,-0.13,-1.25,-0.08
51317,-0.64,-0.13,-1.25,-0.08
51348,-0.64,-0.13,-1.25,-0.08
51379,-0.64,-0.13,-1.25,-0.08
51409,-0.64,-0.13,-1.25,-0.08
51440,-0.64,-0.13,-1.25,-0.08
51470,-0.64,-0.13,-1.25,-0.08
51501,-0.64,-0.13,-1.25,-0.08
51532,-0.64,-0.13,-1.25,-0.08
51560,-0.64,-0.13,-1.25,-0.08
51591,-0.64,-0.13,-1.25,-0.08
51621,-0.64,-0.13,-1.25,-0.08
51652,-0.64,-0.13,-1.25,-0.08
51682,-0.64,-0.13,-1.25,-0.08
51713,-0.64,-0.13,-1.25,-0.08
51744,-0.64,-0.13,-1.25,-0.08
51774,-0.64,-0.13,-1.25,-0.08
51805,-0.64,-0.13,-1.25,-0.08
51835,-0.64,-0.13,-1.25,-0.08
51866,-0.64,-0.13,-1.25,-0.08
51897,-0.64,-0.13,-1.25,-0.08
51925,-0.64,-0.13,-1.25,-0.08
51956,-0.64,-0.13,-1.25,-0.08
51986,-0.64,-0.13,-1.25,-0.08
52017,-0.64,-0.13,-1.25,-0.08
52047,-0.64,-0.13,-1.25,-0.08
52078,-0.64,-0.13,-1.25,-0.08
52109,-0.64,-0.13,-1.25,-0.08
52139,-0.64,-0.13,-1.25,-0.08
52170,-0.64,-0.13,-1.25,-0.08
52200,-0.64,-0.13,-1.25,-0.08
52231,-0.64,-0.13,-1.25,-0.08
52262,-0.64,-0.13,-1.25,-0.08
52290,-0.64,-0.13,-1.25,-0.08
52321,-0.64,-0.13,-1.25,-0.08
52351,-0.64,-0.13,-1.25,-0.08
52382,-0.64,-0.13,-1.25,-0.08
52412,-0.64,-0.13,-1.25,-0.08
52443,-0.64,-0.13,-1.25,-0.08
52474,-0.64,-0.13,-1.25,-0.08
52504,-0.64,-0.13,-1.25,-0.08
52535,-0.64,-0.13,-1.25,-0.08
52565,-0.64,-0.13,-1.25,-0.08
52596,-0.64,-0.13,-1.25,-0.08
52627,-0.64,-0.13,-1.25,-0.08
52656,-0.64,-0.13,-1.25,-0.08
52687,-0.64,-0.13,-1.25,-0.08
52717,-0.64,-0.13,-1.25,-0.08
52748,-0.64,-0.13,-1.25,-0.08
52778,-0.64,-0.13,-1.25,-0.08
52809,-0.64,-0.13,-1.25,-0.08
52840,-0.64,-0.13,-1.25,-0.08
52870,-0.64,-0.13,-1.25,-0.08
52901,-0.64,-0.13,-1.25,-0.08
52931,-0.64,-0.13,-1.25,-0.08
52962,-0.64,-0.13,-1.25,-0.08
52993,-0.64,-0.13,-1.25,-0.08
53021,-0.64,-0.13,-1.25,-0.08
53052,-0.64,-0.13,-1.25,-0.08
53082,-0.64,-0.13,-1.25,-0.08
53113,-0.64,-0.13,-1.25,-0.08
53143,-0.64,-0.13,-1.25,-0.08
53174,-0.64,-0.13,-1.25,-0.08
53205,-0.64,-0.13,-1.25,-0.08
53235,-0.64,-0.13,-1.25,-0.08
53266,-0.64,-0.13,-1.25,-0.08
53296,-0.64,-0.13,-1.25,-0.08
53327,-0.64,-0.13,-1.25,-0.08
53358,-0.64,-0.13,-1.25,-0.08
53386,-0.64,-0.13,-1.25,-0.08
53417,-0.64,-0.13,-1.25,-0.08
53447,-0.64,-0.13,-1.25,-0.08
53478,-0.64,-0.13,-1.25,-0.08
53508,-0.64,-0.13,-1.25,-0.08
53539,-0.64,-0.13,-1.25,-0.08
53570,-0.64,-0.13,-1.25,-0.08
53600,-0.64,-0.13,-1.25,-0.08
53631,-0.64,-0.13,-1.25,-0.08
53661,-0.64,-0.13,-1.25,-0.08
53692,-0.64,-0.13,-1.25,-0.08
53723,-0.64,-0.13,-1.25,-0.08
53751,-0.64,-0.13,-1.25,-0.08
53782,-0.64,-0.13,-1.25,-0.08
53812,-0.64,-0.13,-1.25,-0.08
53843,-0.64,-0.13,-1.25,-0.08
53873,-0.64,-0.13,-1.25,-0.08
53904,-0.64,-0.13,-1.25,-0.08
53935,-0.64,-0.13,-1.25,-0.08
53965,-0.64,-0.13,-1.25,-0.08
53996,-0.64,-0.13,-1.25,-0.08
54026,-0.64,-0.13,-1.25,-0.08
54057,-0.64,-0.13,-1.25,-0.08
54088,-0.64,-0.13,-1.25,-0.08
54117,-0.64,-0.13,-1.25,-0.08
54148,-0.64,-0.13,-1.25,-0.08
54178,-0.64,-0.13,-1.25,-0.08
54209,-0.64,-0.13,-1.25,-0.08
54239,-0.64,-0.13,-1.25,-0.08
54270,-0.64,-0.13,-1.25,-0.08
54301,-0.64,-0.13,-1.25,-0.08
54331,-0.64,-0.13,-1.25,-0.08
54362,-0.64,-0.13,-1.25,-0.08
54392,-0.64,-0.13,-1.25,-0.08
54423,-0.64,-0.13,-1.25,-0.08
54454,-0.64,-0.13,-1.25,-0.08
54482,-0.64,-0.13,-1.25,-0.08
54513,-0.64,-0.13,-1.25,-0.08
54543,-0.64,-0.13,-1.25,-0.08
54574,-0.64,-0.13,-1.25,-0.08
54604,-0.64,-0.13,-1.25,-0.08
54635,-0.64,-0.13,-1.25,-0.08
54666,-0.64,-0.13,-1.25,-0.08
54696,-0.64,-0.13,-1.25,-0.08
54727,-0.64,-0.13,-1.25,-0.08
54757,-0.64,-0.13,-1.25,-0.08
54788,-0.64,-0.13,-1.25,-0.08
54819,-0.64,-0.13,-1.25,-0.08
54847,-0.64,-0.13,-1.25,-0.08
54878,-0.64,-0.13,-1.25,-0.08
54908,-0.64,-0.13,-1.25,-0.08
54939,-0.64,-0.13,-1.25,-0.08
54969,-0.64,-0.13,-1.25,-0.08
55000,-0.64,-0.13,-1.25,-0.08
55031,-0.64,-0.13,-1.25,-0.08
55061,-0.64,-0.13,-1.25,-0.08
55092,-0.64,-0.13,-1.25,-0.08
55122,-0.64,-0.13,-1.25,-0.08
55153,-0.64,-0.13,-1.25,-0.08
55184,-0.64,-0.13,-1.25,-0.08
55212,-0.64,-0.13,-1.25,-0.08
55243,-0.64,-0.13,-1.25,-0.08
55273,-0.64,-0.13,-1.25,-0.08
55304,-0.64,-0.13,-1.25,-0.08
55334,-0.64,-0.13,-1.25,-0.08
55365,-0.64,-0.13,-1.25,-0.08
55396,-0.64,-0.13,-1.25,-0.08
55426,-0.64,-0.13,-1.25,-0.08
55457,-0.64,-0.13,-1.25,-0.08
55487,-0.64,-0.13,-1.25,-0.08
55518,-0.64,-0.13,-1.25,-0.08
55549,-0.64,-0.13,-1.25,-0.08
55578,-0.64,-0.13,-1.25,-0.08
55609,-0.64,-0.13,-1.25,-0.08
55639,-0.64,-0.13,-1.25,-0.08
55670,-0.64,-0.13,-1.25,-0.08
55700,-0.64,-0.13,-1.25,-0.08
55731,-0.64,-0.13,-1.25,-0.08
55762,-0.64,-0.13,-1.25,-0.08
55792,-0.64,-0.13,-1.25,-0.08
55823,-0.64,-0.13,-1.25,-0.08
55853,-0.64,-0.13,-1.25,-0.08
55884,-0.64,-0.13,-1.25,-0.08
55915,-0.64,-0.13,-1.25,-0.08
55943,-0.64,-0.13,-1.25,-0.08
55974,-0.64,-0.13,-1.25,-0.08
56004,-0.64,-0.13,-1.25,-0.08
56035,-0.64,-0.13,-1.25,-0.08
56065,-0.64,-0.13,-1.25,-0.08
56096,-0.64,-0.13,-1.25,-0.08
56127,-0.64,-0.13,-1.25,-0.08
56157,-0.64,-0.13,-1.25,-0.08
56188,-0.64,-0.13,-1.25,-0.08
56218,-0.64,-0.13,-1.25,-0.08
56249,-0.64,-0.13,-1.25,-0.08
56280,-0.64,-0.13,-1.25,-0.08
56308,-0.64,-0.13,-1.25,-0.08
56339,-0.64,-0.13,-1.25,-0.08
56369,-0.64,-0.13,-1.25,-0.08
56400,-0.64,-0.13,-1.25,-0.08
56430,-0.64,-0.13,-1.25,-0.08
56461,-0.64,-0.13,-1.25,-0.08
56492,-0.64,-0.13,-1.25,-0.08
56522,-0.64,-0.13,-1.25,-0.08
56553,-0.64,-0.13,-1.25,-0.08
56583,-0.64,-0.13,-1.25,-0.08
56614,-0.64,-0.13,-1.25,-0.08
56645,-0.64,-0.13,-1.25,-0.08
56673,-0.64,-0.13,-1.25,-0.08
56704,-0.64,-0.13,-1.25,-0.08
56734,-0.64,-0.13,-1.25,-0.08
56765,-0.64,-0.13,-1.25,-0.08
56795,-0.64,-0.13,-1.25,-0.08
56826,-0.64,-0.13,-1.25,-0.08
56857,-0.64,-0.13,-1.25,-0.08
56887,-0.64,-0.13,-1.25,-0.08
56918,-0.64,-0.13,-1.25,-0.08
56948,-0.64,-0.13,-1.25,-0.08
56979,-0.64,-0.13,-1.25,-0.08
57010,-0.64,-0.13,-1.25,-0.08
57039,-0.64,-0.13,-1.25,-0.08
57070,-0.64,-0.13,-1.25,-0.08
57100,-0.64,-0.13,-1.25,-0.08
57131,-0.64,-0.13,-1.25,-0.08
57161,-0.64,-0.13,-1.25,-0.08
57192,-0.64,-0.13,-1.25,-0.08
57223,-0.64,-0.13,-1.25,-0.08
57253,-0.64,-0.13,-1.25,-0.08
57284,-0.64,-0.13,-1.25,-0.08
57314,-0.64,-0.13,-1.25,-0.08
57345,-0.64,-0.13,-1.25,-0.08
57376,-0.64,-0.13,-1.25,-0.08
57404,-0.64,-0.13,-1.25,-0.08
57435,-0.64,-0.13,-1.25,-0.08
57465,-0.64,-0.13,-1.25,-0.08
57496,-0.64,-0.13,-1.25,-0.08
57526,-0.64,-0.13,-1.25,-0.08
57557,-0.64,-0.13,-1.25,-0.08
57588,-0.64,-0.13,-1.25,-0.08
57618,-0.64,-0.13,-1.25,-0.08
57649,-0.64,-0.13,-1.25,-0.08
57679,-0.64,-0.13,-1.25,-0.08
57710,-0.64,-0.13,-1.25,-0.08
57741,-0.64,-0.13,-1.25,-0.08
57769,-0.64,-0.13,-1.25,-0.08
57800,-0.64,-0.13,-1.25,-0.08
57830,-0.64,-0.13,-1.25,-0.08
57861,-0.64,-0.13,-1.25,-0.08
57891,-0.64,-0.13,-1.25,-0.08
57922,-0.64,-0.13,-1.25,-0.08
57953,-0.64,-0.13,-1.25,-0.08
57983,-0.64,-0.13,-1.25,-0.08
58014,-0.64,-0.13,-1.25,-0.08
58044,-0.64,-0.13,-1.25,-0.08
58075,-0.64,-0.13,-1.25,-0.08
58106,-0.64,-0.13,-1.25,-0.08
58134,-0.64,-0.13,-1.25,-0.08
58165,-0.64,-0.13,-1.25,-0.08
58195,-0.64,-0.13,-1.25,-0.08
58226,-0.64,-0.13,-1.25,-0.08
58256,-0.64,-0.13,-1.25,-0.08
58287,-0.64,-0.13,-1.25,-0.08
58318,-0.64,-0.13,-1.25,-0.08
58348,-0.64,-0.13,-1.25,-0.08
58379,-0.64,-0.13,-1.25,-0.08
58409,-0.64,-0.13,-1.25,-0.08
58440,-0.64,-0.13,-1.25,-0.08
58471,-0.64,-0.13,-1.25,-0.08
58500,-0.64,-0.13,-1.25,-0.08
58531,-0.64,-0.13,-1.25,-0.08
58561,-0.64,-0.13,-1.25,-0.08
58592,-0.64,-0.13,-1.25,-0.08
58622,-0.64,-0.13,-1.25,-0.08
58653,-0.64,-0.13,-1.25,-0.08
58684,-0.64,-0.13,-1.25,-0.08
58714,-0.64,-0.13,-1.25,-0.08
58745,-0.64,-0.13,-1.25,-0.08
58775,-0.64,-0.13,-1.25,-0.08
58806,-0.64,-0.13,-1.25,-0.08
58837,-0.64,-0.13,-1.25,-0.08
58865,-0.64,-0.13,-1.25,-0.08
58896,-0.64,-0.13,-1.25,-0.08
58926,-0.64,-0.13,-1.25,-0.08
58957,-0.64,-0.13,-1.25,-0.08
58987,-0.64,-0.13,-1.25,-0.08
59018,-0.64,-0.13,-1.25,-0.08
59049,-0.64,-0.13,-1.25,-0.08
59079,-0.64,-0.13,-1.25,-0.08
59110,-0.64,-0.13,-1.25,-0.08
59140,-0.64,-0.13,-1.25,-0.08
59171,-0.64,-0.13,-1.25,-0.08
59202,-0.64,-0.13,-1.25,-0.08
59230,-0.64,-0.13,-1.25,-0.08
59261,-0.64,-0.13,-1.25,-0.08
59291,-0.64,-0.13,-1.25,-0.08
59322,-0.64,-0.13,-1.25,-0.08
59352,-0.64,-0.13,-1.25,-0.08
59383,-0.64,-0.13,-1.25,-0.08
59414,-0.64,-0.13,-1.25,-0.08
59444,-0.64,-0.13,-1.25,-0.08
59475,-0.64,-0.13,-1.25,-0.08
59505,-0.64,-0.13,-1.25,-0.08
59536,-0.64,-0.13,-1.25,-0.08
59567,-0.64,-0.13,-1.25,-0.08
59595,-0.64,-0.13,-1.25,-0.08
