#,SUB-ASSET,Rig Crew #,CAPEX SCENARIO,TARGET,FRAC SIZE,BASE LL FOR CAPEX,PROPNUM,WELL,WELL RANKING,PAD NAME,WELLS ON PAD,DRILL ORDER,TYPE CURVE AREA,High Pressure Gas Trunkline,WI %,NRI %,RESCAT,PERFED LATERAL LENGTH,COMPLETION DESIGN,CURRENT STATUS,TANK BATTERY,AFE,PLANNING & STAKING,PERMITTED,LOCATION BUILDING,SPUD,PAD SPUD,TD,RIG RELEASE (PAD),COMPLETION START,FRAC END,DRILL OUT START,COMPLETION END,PUT ON PRODUCTION,TURNED TO LOE,POST DRILL FILING REQUIREMENTS,1ST OIL,Hedging: Include in BVTH
1,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD1E900,FARMAR A S504HU,1,PAD 1,1,1,B1 LGOR,East TL,100,75,1PDP,7471,39-1142-3-88-270,ACTIVE,LOW,41505,41505,41505,41505,41505,41505,41529,41536,41554,41558,41559,41562,41564,41629,41601,41571,1
2,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD0NA00,FARMAR A S114HU,1,PAD 2,1,1,B1 LGOR,North TL,100,75,1PDP,7667,33-1095-3-88-273,ACTIVE,LOW,41505,41505,41505,41505,41540,41540,41556,41560,41592,41596,41597,41600,41605,41688,41637,41607,1
3,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD1NA00,FARMAR B N492HU,1,PAD 3,1,1,B1 LGOR,East TL,100,75,1PDP,7899,34-1128-3-88-264,ACTIVE,HIGH,41505,41505,41505,41505,41563,41563,41578,41582,41628,41634,41635,41638,41639,41694,41682,41652,1
4,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD14900,FARMAR A N504HU,1,PAD 4,1,1,B1 LGOR,East TL,100,75,1PDP,7545,36-1173-3-88-261,ACTIVE,LOW,41505,41505,41505,41505,41587,41587,41602,41608,41645,41651,41652,41655,41655,41728,41707,41677,1
5,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD20900,FARMAR D S542HU,1,PAD 5,1,1,B1 LGOR,East TL,100,75,1PDP,7007,38-1121-3-88-270,ACTIVE,HIGH,41505,41505,41505,41505,41617,41617,41640,41647,41673,41678,41679,41682,41681,41742,41730,41700,1
6,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD1IA00,FARMAR A S508HU,1,PAD 6,1,1,B1 LGOR,East TL,100,75,1PDP,7313,34-1147-3-88-264,ACTIVE,LOW,41505,41505,41505,41505,41650,41650,41663,41666,41689,41694,41695,41698,41699,41765,41738,41708,1
7,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD1A900,FARMAR A S502HU,1,PAD 7,1,1,B1 LGOR,East TL,100,75,1PDP,7649,32-1094-3-88-273,ACTIVE,LOW,41505,41505,41505,41505,41668,41668,41683,41687,41708,41713,41714,41717,41716,41772,41764,41734,1
8,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD11900,FARMAR A N502HU,1,PAD 8,1,1,B1 LGOR,East TL,100,75,1PDP,7597,33-1004-3-88-264,ACTIVE,LOW,41505,41505,41505,41505,41689,41689,41708,41711,41742,41746,41747,41750,41749,41793,41789,41759,1
9,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD2F900,FARMAR A N714HU,1,PAD 9,1,1,B1 HGOR,71/72,100,75,1PDP,7627,32-1000-3-88-261,ACTIVE,71 SAT,41505,41505,41505,41505,41715,41715,41736,41738,41758,41763,41764,41767,41768,41815,41801,41771,1
10,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD1VA00,FARMAR B S496HU,1,PAD 10,1,1,B1 LGOR,East TL,100,75,1PDP,7465,31-936-3-88-261,ACTIVE,HIGH,41505,41505,41505,41505,41742,41742,41754,41759,41788,41793,41794,41797,41796,41835,41833,41803,1
11,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD1KA00,FARMAR B S122HU,1,PAD 11,1,1,B1 LGOR,North TL,100,75,1PDP,7634,36-1479-3-88-258,ACTIVE,LOW,41505,41505,41505,41505,41762,41762,41781,41784,41803,41809,41810,41813,41813,41848,41849,41819,1
12,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B3,2050,7500,Q8JAD27900,FARMAR A N712HM,1,PAD 12,1,1,B3 HGOR,71/72,100,75,1PDP,6085,37-1516-3-88-255,ACTIVE,71 SAT,41505,41505,41505,41505,41790,41790,41812,41816,41830,41837,41838,41841,41839,41866,41881,41851,1
13,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD2IA00,FARMAR D S546HU,1,PAD 13,1,1,B1 LGOR,East TL,100,75,1PDP,7620,40-1686-3-88-270,ACTIVE,HIGH,41505,41505,41505,41505,41820,41820,41838,41841,41866,41875,41876,41879,41879,41918,41922,41892,1
14,Farmar,Rig Crew 1,FARMAR 11/6/19 AFE//7500//B1//2050,B1,2050,7500,Q8JAD1HA00,FARMAR B N122HU,1,PAD 14,1,1,B1 LGOR,North TL,100,75,1PDP,7658,36-1456-3-88-270,ACTIVE,LOW,41505,41505,41505,41505,41845,41845,41859,41862,41884,41890,41891,41894,41899,41948,41944,41914,1
