TRKRN Gas,TRACKER Gas,NORTHWEST Gas,SOUTHWEST Gas,LGOR Gas,HGOR Gas,B3 LGOR Gas,B1 LGOR Gas,B3 MGOR Gas,B1 MGOR Gas,B3 HGOR Gas,B1 HGOR Gas,NEW A1 LGOR Gas,NEW C1 LGOR Gas,NEW B1 LGOR Gas,NEW B3 LGOR Gas,NEW GENERIC Gas,GANADOR Gas,MUNSON Gas,DISCOVERY Gas,PDP Gas,NEW B3 LGOR Risk90 Gas,NEW B3 LGOR Risk80 Gas,NEW B3 LGOR Risk70 Gas,NEW B3 LGOR Risk90_8750 Gas,NEW B3 LGOR_10k Gas,ESTE Gas,TRACKER-N-ORIG Gas,TRACKER-S-ORIG Gas,MUNSON-8750 Gas,MUNSON-10k Gas
12.331,7.701633019,10.79164665,4.61161939,3.4726,4.586350101,1.145812618,0.763875059,4.0315625,5.927777515,5.860416509,16.671875,2.056269689,2.056269689,2.056269689,6.567043924,4.311656807,6.567043924,9.364192969,10.79164665,0,5.910339531,5.253635139,4.596930747,6.89539612,8.756058565,6.746563939,6.875,13.75,10.24208606,7.079458602
12.501,24.51814563,25.99099687,23.04529439,8.087735908,16.13440287,2.564437737,1.709625118,10.23046875,17.78333207,12.73125,41.71,4.276756335,4.276756335,4.276756335,16.78221798,10.52948716,16.78221798,8.808371094,25.99099687,0,15.10399619,13.42577439,11.74755259,17.62132888,22.37629064,18.95497204,13.63067383,41.346,9.634155884,6.659249624
14.25725,44.00868606,47.83763329,40.17973883,10.65760882,51.65834877,8.85125,7.131090459,12.68578125,22.52555598,39.84405344,59.17,8.690240346,8.690240346,8.690240346,16.90461667,12.79742851,16.90461667,8.562003906,47.83763329,0,15.214155,13.52369333,11.83323167,17.7498475,22.53948889,20.40328886,17.67394336,47.50037891,9.364691772,6.472992644
22.69275,47.82587133,54.67528406,40.97645859,11.35863274,66.43299757,12.00375095,8.381424248,15.14109375,21.54140762,39.73083625,54.63218086,10.53581859,10.53581859,10.53581859,15.80404838,13.16993349,15.80404838,8.511179688,54.67528406,0,14.22364354,12.6432387,11.06283387,16.5942508,21.07206451,21.58275473,23.49187695,49.20744141,9.309102783,6.434568836
28.28875,45.45885522,49.24884406,41.66886637,11.0456505,50.08937973,15.15625095,9.421293613,17.59640625,18.10478287,40.89706801,43.61105223,9.020792102,9.020792102,9.020792102,15.28390184,12.15234697,15.28390184,8.599675,49.24884406,0,13.75551166,12.22712147,10.69873129,16.04809693,20.37853579,22.58404564,27.74429883,48.65473438,9.405894531,6.501472509
38.90901636,44.2498734,46.21866994,42.28107686,10.97269021,43.00046525,15.83699202,10.31940847,20.05171875,16.77368332,42.37325266,40.33992047,8.182194569,8.182194569,8.182194569,15.02180886,11.60200172,15.02180886,8.797428906,46.21866994,0,13.51962798,12.01744709,10.5152662,15.7728993,20.02907848,23.4582315,31.01778125,48.37308203,9.622187866,6.65097718
37.25915044,43.60732388,44.41892033,42.79572743,11.0133459,39.09359785,14.75201197,11.1150396,22.50703125,16.15567207,40.71277938,39.11063871,7.684884167,7.684884167,7.684884167,14.90441533,11.29464975,14.90441533,9.087836719,44.41892033,0,13.4139738,11.92353226,10.43309073,15.64963609,19.87255377,24.23685876,33.63447266,47.77042969,9.939821411,6.870529478
36.39367766,43.23286001,43.20946352,43.25625651,11.11405065,35.83683902,14.31625084,11.83279887,21.59232314,15.86456313,36.76771359,38.71370789,7.350757451,7.350757451,7.350757451,14.86355246,11.10715496,14.86355246,9.461934375,43.20946352,0,13.37719722,11.89084197,10.40448672,15.60673009,19.81806995,24.94079996,35.78692578,46.93623438,10.34899072,7.153352448
35.93756735,43.005792,42.32403488,43.68754912,11.24852543,33.40098071,14.16037733,12.4891649,18.84631945,15.74817071,33.68492855,36.66443891,7.106379855,7.106379855,7.106379855,14.86971042,10.98804514,14.86971042,9.915471875,42.32403488,0,13.38273938,11.89576834,10.40879729,15.61319594,19.82628056,25.5846138,35.68372266,46.30964844,10.84504736,7.496233033
35.7175863,42.81331485,41.54601092,44.08061878,11.40257829,31.62552489,14.14731738,13.09573887,17.37520268,15.73428096,31.19563953,33.33852488,6.930049901,6.930049901,6.930049901,14.90815615,10.91910302,14.90815615,10.44735234,41.54601092,0,13.41734053,11.92652492,10.4357093,15.65356395,19.87754153,24.96529163,33.85724219,45.82977344,11.42679163,7.898341978
