TRKRN Oil,TRACKER Oil,NORTHWEST Oil,SOUTHWEST Oil,LGOR Oil,HGOR Oil,B3 LGOR Oil,B1 LGOR Oil,B3 MGOR Oil,B1 MGOR Oil,B3 HGOR Oil,B1 HGOR Oil,NEW A1 LGOR Oil,NEW C1 LGOR Oil,NEW B1 LGOR Oil,NEW B3 LGOR Oil,NEW GENERIC Oil,GANADOR Oil,MUNSON Oil,DISCOVERY Oil,PDP Oil,NEW B3 LGOR Risk90 Oil,NEW B3 LGOR Risk80 Oil,NEW B3 LGOR Risk70 Oil,NEW B3 LGOR Risk90_8750 Oil,NEW B3 LGOR_10k Oil,ESTE Oil,TRACKER-N-ORIG Oil,TRACKER-S-ORIG Oil,MUNSON-8750 Oil,MUNSON-10k Oil
19.38625,7.500929732,8.641797753,6.360061711,5.74725,1.70164087,4.365,2.91,6.79,4.85,4.85,10.67,2.640775636,2.640775636,2.640775636,7.152133125,4.896454381,7.152133125,8.844541406,8.641797753,0,6.436919812,5.7217065,5.006493187,7.509739781,9.5361775,9.715052632,11,11,9.673717163,6.686594878
19.39775,13.12047926,13.85078652,12.390172,9.95414,4.120550781,4.365,2.91,13.095,10.67,4.85,15.52,4.628929855,4.628929855,4.628929855,13.99079013,9.309859994,13.99079013,7.421820313,13.85078652,0,12.59171112,11.19263211,9.793553093,14.69032964,18.65438684,17.496897,15.57791309,15.03490918,8.117615967,5.610998174
20.20975,16.44019571,19.03382633,13.84656509,10.44011,10.03436742,9.7,7.814893569,13.095,10.67,9.858323135,15.52,8.121621559,8.121621559,8.121621559,11.38122683,9.751424196,11.38122683,6.435764063,19.03382633,0,10.24310415,9.104981467,7.966858784,11.95028818,15.17496911,13.85883758,12.47572559,11.17655957,7.039116943,4.865526095
16.6665,13.81016202,17.51011627,10.11020778,9.240923818,10.67568608,9.7,6.772867754,13.095,8.429246006,7.278932573,11.06474548,8.743460454,8.743460454,8.743460454,8.849463734,8.796462094,8.849463734,5.707216016,17.51011627,0,7.964517361,7.079570987,6.194624614,9.291936921,11.79928498,11.59670343,10.44083398,8.946807617,6.242267517,4.314733758
13.91825,10.5447228,13.07018214,8.019263471,7.683931729,6.705488129,9.7,6.029627515,13.095,6.034927466,5.948664248,7.193575889,6.67402173,6.67402173,6.67402173,7.33099879,7.00251026,7.33099879,5.144301953,13.07018214,0,6.597898911,5.864799032,5.131699153,7.69754873,9.774665054,10.03735362,8.998151367,7.48534375,5.626580261,3.889162989
12.75705455,8.550030538,10.44942353,6.650637547,6.666952563,4.927330695,8.390459268,5.467235913,13.095,4.869778906,5.110342222,5.612510938,5.453451592,5.453451592,5.453451592,6.288933157,5.871192375,6.288933157,4.694723828,10.44942353,0,5.660039841,5.031146526,4.40225321,6.603379815,8.385244209,8.889435084,7.919433594,6.449744141,5.134854187,3.549275746
10.49553533,7.267245741,8.800920867,5.733570614,5.939783159,3.95534485,6.667575864,5.023746514,13.095,4.154315811,4.523642363,4.705039468,4.680154775,4.680154775,4.680154775,5.565463193,5.122808984,5.565463193,4.326380469,8.800920867,0,5.008916874,4.452370554,3.895824235,5.843736352,7.42061759,8.004833933,7.080941406,5.675694336,4.731978638,3.270803104
8.986093249,6.337396979,7.624410213,5.050383746,5.388631338,3.318895321,5.641871909,4.663171748,11.32712006,3.661052813,4.085301353,4.102114844,4.122966894,4.122966894,4.122966894,5.010982609,4.566974751,5.010982609,4.018407422,7.624410213,0,4.509884348,4.008786087,3.507687826,5.261531739,6.681310145,7.299745914,6.409599121,5.0741875,4.395133118,3.037971247
7.898366451,5.604150808,6.707221845,4.501079772,4.953479771,2.850780297,4.946856489,4.363026846,9.001226777,3.296128914,3.742769866,3.666443938,3.684218609,3.684218609,3.684218609,4.554603363,4.119410986,4.554603363,3.756620313,6.707221845,0,4.099143027,3.643682691,3.188222354,4.782333532,6.072804485,6.722964381,5.859395996,4.592692383,4.108803467,2.840056594
7.072789367,5.030111584,5.995784453,4.064438716,4.599359673,2.503382879,4.438373774,4.108466733,7.616527148,3.012947407,3.466182275,3.333852346,3.340355775,3.340355775,3.340355775,4.184182567,3.762269171,4.184182567,3.53101875,5.995784453,0,3.76576431,3.347346053,2.928927797,4.393391695,5.578910089,6.241322908,5.399879395,4.198146973,3.862051758,2.669498711
6.422200367,4.566827889,5.425776043,3.707879735,4.304375947,2.234143558,4.046857524,3.889255022,6.678256284,2.78547033,3.23717939,3.06988707,3.062108155,3.062108155,3.062108155,3.876198705,3.46915343,3.876198705,3.3343375,5.425776043,0,3.488578835,3.100958964,2.713339094,4.070008641,5.168264941,5.832336863,5.010070313,3.868678223,3.646931641,2.520804983
5.894695668,4.185440349,4.959338448,3.411542251,4.054048218,2.01957359,3.734167983,3.698081426,5.991804619,2.597887107,3.043790139,2.854221921,2.832225748,2.832225748,2.832225748,3.616059211,3.22414248,3.616059211,3.161163086,4.959338448,0,3.25445329,2.892847369,2.531241448,3.796862172,4.821412282,5.480188014,4.675034668,3.589221924,3.457522125,2.389882745
5.457316913,3.860441516,4.563838327,3.157044706,3.838378096,1.841469088,3.477461841,3.529572581,5.463257871,2.439985742,2.877842463,2.674009846,2.635520678,2.635520678,2.635520678,3.389384368,3.012452523,3.389384368,3.007374609,4.563838327,0,3.050445931,2.711507494,2.372569058,3.558853586,4.519179157,5.173408177,4.383843262,3.349056641,3.289315979,2.273616543
5.088067482,3.588362426,4.234129791,2.942595062,3.650218225,1.695582359,3.262138655,3.379680583,5.04112647,2.30484646,2.733546675,2.520693247,2.470108969,2.470108969,2.470108969,3.195843025,2.832975997,3.195843025,2.869776563,4.234129791,0,2.876258723,2.55667442,2.237090118,3.355635177,4.261124034,4.903465461,4.128311523,3.140338379,3.138818115,2.169590528
4.771670658,3.353878552,3.951000259,2.756756845,3.484309387,1.57213755,3.078385227,3.245293193,4.694573604,2.187596763,2.606675837,2.388328506,2.326891393,2.326891393,2.326891393,3.026089179,2.676490286,3.026089179,2.745849805,3.951000259,0,2.723480261,2.420871343,2.118262425,3.177393638,4.034785571,4.663873458,3.902183594,2.957193359,3.003273224,2.075900196
4.497165447,3.149303372,3.704744161,2.593862583,3.336687039,1.466093076,2.919337908,3.123973806,4.403887148,2.084697192,2.494064426,2.27264606,2.201357561,2.201357561,2.201357561,2.875648644,2.538503102,2.875648644,2.633580664,3.704744161,0,2.58808378,2.300518915,2.012954051,3.019431076,3.834198192,4.449608013,3.700595703,2.795133057,2.880478851,1.991023182
4.256470759,2.969426957,3.488808011,2.450045903,3.204300984,1.374104734,2.780037524,3.013784553,4.155820068,1.993507957,2.39328981,2.170492461,2.090456315,2.090456315,2.090456315,2.741450736,2.415953525,2.741450736,2.531339258,3.488808011,0,2.467305662,2.193160589,1.919015515,2.878523273,3.655267648,4.256714458,3.519706787,2.650668457,2.768652313,1.913727274
4.043489992,2.807348407,3.294703617,2.319993197,3.084761746,1.292189795,2.656802529,2.913164104,3.941106211,1.912015879,2.30246314,2.079482021,1.990057132,1.990057132,1.990057132,2.618925536,2.304491334,2.618925536,2.43779043,3.294703617,0,2.357032982,2.095140429,1.833247875,2.749871813,3.491900715,4.082032818,3.356442871,2.521043701,2.666333282,1.843003074
3.853531904,2.669328339,3.129757059,2.208899619,2.976167925,1.223142212,2.546837068,2.820837202,3.753050776,1.838656906,2.220088921,1.99777373,1.904169985,1.904169985,1.904169985,2.513334354,2.20875217,2.513334354,2.351830273,3.129757059,0,2.262000919,2.010667483,1.759334048,2.639001072,3.351112472,3.923007324,3.208313721,2.404054443,2.572314362,1.778016014
3.682924197,2.545042617,2.981501705,2.108583528,2.876986609,1.161525386,2.447975217,2.73575333,3.586683462,1.772195328,2.144964363,1.923922534,1.82648166,1.82648166,1.82648166,2.417193366,2.121837513,2.417193366,2.2725375,2.981501705,0,2.175474029,1.933754692,1.692035356,2.538053034,3.222924487,3.777547492,3.073280029,2.297914551,2.485587891,1.718069588
3.528748668,2.428560948,2.842786477,2.014335419,2.78596646,1.10423744,2.358511189,2.65703603,3.438229888,1.711640426,2.076111887,1.856775255,1.7533537,1.7533537,1.7533537,2.326166712,2.039760206,2.326166712,2.199136328,2.842786477,0,2.093550041,1.86093337,1.628316699,2.442475048,3.101555617,3.643924573,2.949655273,2.201161621,2.405305359,1.662577293
3.38865534,2.322796983,2.71703103,1.928562935,2.702074248,1.052606831,2.277081394,2.583949988,3.304766318,1.65618797,2.012726555,1.79540085,1.686660219,1.686660219,1.686660219,2.242695608,1.964677913,2.242695608,2.130969141,2.71703103,0,2.018426047,1.794156486,1.569886925,2.354830388,2.99026081,3.520697073,2.836032715,2.112586182,2.330747498,1.611041962
3.260729313,2.226222079,2.602362422,1.850081736,2.624450093,1.005774932,2.20258061,2.515871428,3.183990188,1.605177479,1.954139597,1.739037479,1.625499971,1.625499971,1.625499971,2.165774675,1.895637323,2.165774675,2.067474219,2.602362422,0,1.949197208,1.73261974,1.516042273,2.274063409,2.887699567,3.406652202,2.731229248,2.031179688,2.261299927,1.563038928
3.143393591,2.137754688,2.497456086,1.778053291,2.552370046,0.963136069,2.134103962,2.452268462,3.074059775,1.558061079,1.899790114,1.687055804,1.569236425,1.569236425,1.569236425,2.094693188,1.831964806,2.094693188,2.008169141,2.497456086,0,1.885223869,1.675754551,1.466285232,2.199427848,2.792924251,3.300761976,2.634242188,1.956093872,2.196434998,1.518203474
3.035336998,2.055064867,2.399516914,1.71061282,2.485221465,0.923503184,2.070901453,2.392684507,2.973483848,1.514379938,1.849204235,1.638930448,1.516429278,1.516429278,1.516429278,2.027703655,1.772066466,2.027703655,1.952636523,2.399516914,0,1.824933289,1.622162924,1.419392558,2.129088837,2.703604873,3.20214935,2.544216553,1.886609985,2.135696198,1.476220052
2.935459896,1.979987859,2.310691328,1.64928439,2.422481458,0.887702335,2.012346465,2.33672408,2.881040432,1.473746742,1.801977952,1.594219392,1.468289378,1.468289378,1.468289378,1.966403827,1.717346603,1.966403827,1.900513867,2.310691328,0,1.769763445,1.573123062,1.376482679,2.064724019,2.62187177,3.110060264,2.460418701,1.82211499,2.078687042,1.436814607
2.842832771,1.910478192,2.228535174,1.59242121,2.363700073,0.854711319,1.957910662,2.284044507,2.795716902,1.43583208,1.757764921,1.552547638,1.423542795,1.423542795,1.423542795,1.909226621,1.666384708,1.909226621,1.85148418,2.228535174,0,1.718303959,1.527381297,1.336458635,2.004687953,2.545635495,3.023843544,2.382214844,1.762082764,2.025060822,1.39974749
2.756664236,1.845879033,2.152253123,1.539504943,2.308489407,0.824181805,1.907145513,2.234345742,2.716667585,1.400353667,1.716266279,1.513594891,1.38179818,1.38179818,1.38179818,1.855715635,1.618756908,1.855715635,1.805269727,2.152253123,0,1.670144072,1.484572508,1.299000945,1.948501417,2.474287514,2.942933645,2.309055176,1.706059326,1.974513763,1.364808728
2.676276044,1.785726314,2.081282946,1.490169683,2.256511047,0.795867198,1.859666783,2.187364209,2.643179429,1.367068174,1.677222714,1.47708538,1.342779927,1.342779927,1.342779927,1.805550365,1.574165146,1.805550365,1.761625195,2.081282946,0,1.624995328,1.444440292,1.263885255,1.895827883,2.407400486,2.866836233,2.240459961,1.653650269,1.926777557,1.331812862
2.601083362,1.728648057,2.013994155,1.443301959,2.207470396,0.769099261,1.815143997,2.142867827,2.574646418,1.335764716,1.64040759,1.442780865,1.305619201,1.305619201,1.305619201,1.757641021,1.531630111,1.757641021,1.720333789,2.013994155,0,1.581876919,1.406112817,1.230348714,1.845523072,2.343521361,2.795117701,2.176008789,1.604511963,1.881615082,1.300595992
2.53057907,1.676922306,1.953060597,1.400784014,2.161108137,0.744924309,1.773290841,2.10065104,2.510550164,1.306259286,1.605622457,1.410473898,1.271822825,1.271822825,1.271822825,1.713957789,1.492890307,1.713957789,1.68120293,1.953060597,0,1.54256201,1.371166231,1.199770452,1.799655678,2.285277052,2.727396215,2.115332275,1.558343262,1.838815704,1.271012524
2.464321133,1.628376932,1.895913213,1.360840651,2.117195271,0.722307986,1.733857831,2.060531025,2.450444502,1.27839085,1.572692544,1.379982957,1.239993645,1.239993645,1.239993645,1.67271908,1.456356363,1.67271908,1.644060547,1.895913213,0,1.505447172,1.338175264,1.170903356,1.756355034,2.230292107,2.663333625,2.058103271,1.514878906,1.798191223,1.242932372
2.401922381,1.581930708,1.841272088,1.322589329,2.075529792,0.70073333,1.69662674,2.022344143,2.393942712,1.252017317,1.541462854,1.351148783,1.209437928,1.209437928,1.209437928,1.633042825,1.421240376,1.633042825,1.60875293,1.841272088,0,1.469738542,1.30643426,1.143129977,1.714694966,2.177390433,2.602629793,2.004032104,1.473884888,1.759573517,1.216239328
2.343042166,1.538196401,1.789853152,1.28653965,2.035931248,0.680475743,1.661405391,1.985944514,2.340708042,1.227013412,1.511796152,1.323830471,1.180569072,1.180569072,1.180569072,1.595477424,1.388023248,1.595477424,1.57514209,1.789853152,0,1.435929682,1.276381939,1.116834197,1.675251296,2.127303232,2.54501691,1.952860474,1.435153198,1.722811661,1.190829071
2.287379506,1.496914046,1.741344915,1.252483178,1.998239075,0.661404042,1.628024224,1.951200706,2.290446128,1.203267831,1.483569768,1.297903456,1.153229605,1.153229605,1.153229605,1.559831968,1.356530786,1.559831968,1.543103711,1.741344915,0,1.403848771,1.247865574,1.091882377,1.637823566,2.079775957,2.490255345,1.90435791,1.398499023,1.687769684,1.166607617
2.234667417,1.457903782,1.695531587,1.220275978,1.962309171,0.643426967,1.596332742,1.917994427,2.242897183,1.180681111,1.456673937,1.273256552,1.127311216,1.127311216,1.127311216,1.525975864,1.32664354,1.525975864,1.512525684,1.695531587,0,1.373378277,1.220780691,1.068183105,1.602274657,2.034634485,2.43813059,1.858318115,1.363757202,1.654324966,1.143490208
2.184668192,1.420374591,1.651480411,1.18926877,1.928012117,0.626173051,1.566197025,1.886218639,2.197832678,1.159164801,1.431010261,1.249790887,1.102297857,1.102297857,1.102297857,1.493244116,1.297770986,1.493244116,1.483306348,1.651480411,0,1.343919704,1.194595293,1.045270881,1.567906321,1.990992154,2.388448666,1.814555176,1.330779785,1.622366318,1.121399988
2.137169457,1.385372487,1.610415599,1.160329375,1.895231398,0.610116679,1.537497245,1.855776245,2.155049189,1.138639213,1.406489935,1.227417539,1.078896382,1.078896382,1.078896382,1.46257037,1.270733376,1.46257037,1.455353613,1.610415599,0,1.316313333,1.170056296,1.023799259,1.535698888,1.950093826,2.341035477,1.7729021,1.299433594,1.591793015,1.100267337
2.091980847,1.352143392,1.571448958,1.132837825,1.863861394,0.594905609,1.510125886,1.826579269,2.114366025,1.11903259,1.383033033,1.206056581,1.056612745,1.056612745,1.056612745,1.433315595,1.24496417,1.433315595,1.428583496,1.571448958,0,1.289984035,1.146652476,1.003320916,1.504981374,1.911087459,2.295732653,1.73320752,1.269598877,1.562513199,1.08002876
2.048931194,1.320536803,1.534401087,1.106672519,1.833806787,0.5804657,1.483986565,1.798547429,2.075621204,1.100280283,1.360566971,1.185636139,1.035354696,1.035354696,1.035354696,1.40536582,1.220360258,1.40536582,1.402919531,1.534401087,0,1.264829238,1.124292656,0.983756074,1.475634111,1.873821094,2.252396896,1.695334595,1.241167358,1.534443237,1.06062645
2.007866147,1.290450924,1.499150448,1.0817514,1.804980547,0.566746455,1.458992014,1.771607313,2.038670029,1.082323798,1.339025677,1.16609097,1.015060332,1.015060332,1.015060332,1.378645072,1.196852702,1.378645072,1.378291895,1.499150448,0,1.240780565,1.102916057,0.96505155,1.447577325,1.838193429,2.210897577,1.659158813,1.214040894,1.50750676,1.042007618
1.968646128,1.261306647,1.465016603,1.057596691,1.777303695,0.553480357,1.435063374,1.745691902,2.00338178,1.06510985,1.318349237,1.147362108,0.995344818,0.995344818,0.995344818,1.352651344,1.173998081,1.352651344,1.354636426,1.465016603,0,1.21738621,1.082121075,0.946855941,1.420283912,1.803535126,2.171115864,1.624567017,1.188130127,1.481633591,1.024123758
1.931144595,1.234816937,1.434003282,1.035630592,1.750703884,0.54144269,1.412129008,1.720739623,1.969639231,1.048590129,1.298483064,1.129395676,0.97737575,0.97737575,0.97737575,1.328930303,1.153153026,1.328930303,1.331894434,1.434003282,0,1.196037273,1.063144242,0.930251212,1.395376818,1.771907071,2.132942974,1.591455933,1.163354126,1.456759537,1.0069305
