TRKRN Water,TRACKER Water,NORTHWEST Water,SOUTHWEST Water,LGOR Water,HGOR Water,B3 LGOR Water,B1 LGOR Water,B3 MGOR Water,B1 MGOR Water,B3 HGOR Water,B1 HGOR Water,NEW A1 LGOR Water,NEW C1 LGOR Water,NEW B1 LGOR Water,NEW B3 LGOR Water,NEW GENERIC Water,GANADOR Water,MUNSON Water,DISCOVERY Water,PDP Water,NEW B3 LGOR Risk90 Water,NEW B3 LGOR Risk80 Water,NEW B3 LGOR Risk70 Water,NEW B3 LGOR Risk90_8750 Water,NEW B3 LGOR_10k Water,ESTE Water,TRACKER-N-ORIG Water,TRACKER-S-ORIG Water,MUNSON-8750 Water,MUNSON-10k Water
83.33333333,9.376162165,10.80224719,7.950077139,41.72746,5.017588154,48.5,48.5,58.2,38.8,29.1,29.1,20.41852879,20.41852879,20.41852879,39.32749298,29.87301088,39.32749298,13.13301094,10.80224719,0,35.39474368,31.46199438,27.52924509,41.29386763,52.43665731,51.80894696,35,35,14.36423071,9.928736791
56.10561198,16.40059907,17.31348315,15.487715,22.01641396,11.78685395,32.65346617,34.01658141,37.24164195,23.26045602,37.79824008,15.98726719,21.81735283,21.81735283,21.81735283,39.59535913,30.70635598,39.59535913,10.79928125,17.31348315,0,35.63582322,31.6762873,27.71675139,41.57512709,52.79381217,51.80894696,35,35,11.81171387,8.164405069
31.78899089,20.55024464,23.79228291,17.30820636,15.05239369,27.83673893,18.5011927,20.16274775,20.00574795,11.71672378,19.03967721,7.434183252,23.29838144,23.29838144,23.29838144,21.23844323,22.26841233,21.23844323,9.176560938,23.79228291,0,19.11459891,16.99075459,14.86691026,22.30036539,28.31792431,42.66196135,20.11480273,20.11480273,10.03686353,6.937606207
22.28157715,17.26270253,21.88764534,12.63775972,11.45075243,28.83458226,12.9678779,14.38019695,13.75999089,7.894190122,12.82805865,4.896656147,17.77200421,17.77200421,17.77200421,14.92681897,16.34941159,14.92681897,7.974428906,21.88764534,0,13.43413707,11.94145518,10.44877328,15.67315992,19.90242529,36.26507175,15.33887012,15.33887012,8.722031616,6.028777867
17.17043132,13.18090351,16.33772767,10.02407934,9.24405832,17.55808547,9.993191025,11.18549248,10.49967975,5.961371343,9.687228018,3.657252383,13.23445944,13.23445944,13.23445944,11.18380043,12.20912993,11.18380043,7.043639844,16.33772767,0,10.06542039,8.947040342,7.8286603,11.74299045,14.9117339,31.5386139,12.45837988,12.45837988,7.703981079,5.325088542
13.97197591,10.68753817,13.06177941,8.313296934,7.751942559,12.50485892,8.13168998,9.155314688,8.492105605,4.791227852,7.785745259,2.920177896,10.73683862,10.73683862,10.73683862,8.662902585,9.699870602,8.662902585,6.299066797,13.06177941,0,7.796612327,6.930322068,6.06403181,9.096047715,11.55053678,27.90322821,10.52184863,10.52184863,6.889604309,4.762181084
11.7799821,9.084057176,11.00115108,7.166963268,6.675209404,9.743891108,6.85594958,7.750057974,7.130340698,4.005907231,6.509598955,2.430924199,9.151224739,9.151224739,9.151224739,6.955218057,8.053221398,6.955218057,5.68835,11.00115108,0,6.259696252,5.564174446,4.86865264,7.30297896,9.273624077,25.01991427,9.126186523,9.126186523,6.221632813,4.30047079
10.18336182,7.921746224,9.530512766,6.312979682,5.861413979,7.938440182,5.926716577,6.719306514,6.145524517,3.442120071,5.593444849,2.08231553,8.00642844,8.00642844,8.00642844,5.684656928,6.845542684,5.684656928,5.177391406,9.530512766,0,5.116191235,4.547725542,3.979259849,5.968889774,7.57954257,22.67702488,8.070286621,8.070286621,5.662771851,3.91417907
8.968305664,7.00518851,8.384027306,5.626349715,5.224640713,6.613316102,5.219553896,5.93080687,5.400007524,3.01761269,4.903620444,1.821259307,7.103194402,7.103194402,7.103194402,4.686833098,5.89501375,4.686833098,4.742963672,8.384027306,0,4.218149788,3.749466479,3.280783169,4.921174753,6.249110798,20.73555602,7.242236816,7.242236816,5.187616516,3.585745731
8.012519531,6.287639481,7.494730566,5.080548395,4.712754946,5.632832927,4.663286367,5.308068291,4.815943906,2.686402449,4.365404009,1.618422739,6.393849967,6.393849967,6.393849967,4.184182567,5.289016267,4.184182567,4.368657031,7.494730566,0,3.76576431,3.347346053,2.928927797,4.393391695,5.578910089,19.10043843,6.574661621,6.574661621,4.778218628,3.302764766
7.240964355,5.708534861,6.782220053,4.634849669,4.29227605,4.875730102,4.214241255,4.803758281,4.34597417,2.420756013,3.933728669,1.45626981,5.8187044,5.8187044,5.8187044,3.876198705,4.847451553,3.876198705,4.042526953,6.782220053,0,3.488578835,3.100958964,2.713339094,4.070008641,5.168264941,17.704434,6.024505371,6.024505371,4.421513855,3.056205944
6.605024414,5.231800437,6.19917306,4.264427814,3.940715227,4.275021799,3.844124209,4.387008296,3.959622175,2.202947439,3.5797895,1.323668607,5.342565547,5.342565547,5.342565547,3.616059211,4.479312379,3.616059211,3.755655078,6.19917306,0,3.25445329,2.892847369,2.531241448,3.796862172,4.821412282,16.49864854,5.562933105,5.562933105,4.107747742,2.839326863
6.071816406,4.825551895,5.704797909,3.946305882,3.642404941,3.778935255,3.533797148,4.036825981,3.636384358,2.021115303,3.284312485,1.21321116,4.934319666,4.934319666,4.934319666,3.389384368,4.161852017,3.389384368,3.501238672,5.704797909,0,3.050445931,2.711507494,2.372569058,3.558853586,4.519179157,15.44667393,5.169890137,5.169890137,3.829479797,2.646984563
